,min,max
United States,0.000569603974386,0.002278415897544
Belgium,0.00054795078404,0.002191803136161
France,0.00054003625608,0.002160145024321
Jamaica,0.000481868984375,0.0019274759375
Canada,0.000475432203897,0.001901728815586
Italy,0.000469577043183,0.00187830817273
Austria,0.000469577043183,0.00187830817273
Singapore,0.000469577043183,0.00187830817273
Australia,0.000469577043183,0.00187830817273
Israel,0.000469577043183,0.00187830817273
Germany,0.000469577043183,0.00187830817273
Switzerland,0.000469577043183,0.00187830817273
Saint Vincent and the Grenadines,0.000469577043183,0.00187830817273
United Kingdom,0.000469577043183,0.00187830817273
Burundi,0.00036955359375,0.001478214375
Ireland,0.000367060078125,0.0014682403125
Spain,0.000312458141836,0.001249832567344
Netherlands,0.000308685867083,0.001234743468331
China,0.000304338947044,0.001217355788177
Japan,0.00028838296875,0.001153531875
Iraq,0.000246879320988,0.000987517283951
Benin,0.00024303390625,0.000972135625
Paraguay,0.000237819140625,0.0009512765625
New Zealand,0.000234104277344,0.000936417109375
Hong Kong,0.000228347319601,0.000913389278403
Ethiopia,0.000227826354167,0.000911305416667
Bahrain,0.000218364166667,0.000873456666667
Malaysia,0.000216677531394,0.000866710125575
United Arab Emirates,0.00019552936068,0.00078211744272
India,0.000195149856425,0.0007805994257
Reunion,0.000191158730469,0.000764634921875
Finland,0.000182085125,0.0007283405
Brazil,0.000178513818298,0.000714055273191
Norway,0.00017680201224,0.000707208048961
South Africa,0.000174710038401,0.000698840153604
Yemen,0.0001699240625,0.00067969625
Bangladesh,0.000166883972886,0.000667535891544
Kuwait,0.000162828539244,0.000651314156977
Kazakhstan,0.000138523063136,0.000554092252544
Sweden,0.000136043166738,0.000544172666952
Peru,0.000135828634567,0.00054331453827
Philippines,0.000134922352022,0.000539689408087
Saudi Arabia,0.000134811777319,0.000539247109276
Trinidad and Tobago,0.000132552617188,0.00053021046875
Portugal,0.000132200178341,0.000528800713365
Malta,0.000131763155242,0.000527052620968
Dominican Republic,0.00012930633338,0.000517225333519
Oman,0.00012281578125,0.000491263125
Poland,0.00012197601698,0.00048790406792
Colombia,0.000120068655136,0.000480274620546
Mexico,0.000118375519879,0.000473502079518
Uganda,0.000114052542373,0.000456210169492
Latvia,0.000110978928186,0.000443915712743
Kyrgyzstan,0.00010811321875,0.000432452875
Slovakia,0.000106601792377,0.00042640716951
Nigeria,0.000105055811874,0.000420223247496
Denmark,0.000103996677654,0.000415986710618
Chile,0.000101438208509,0.000405752834035
Uruguay,0.00010017734375,0.000400709375
Madagascar,0.000100001298077,0.000400005192308
Hungary,9.75627157553162E-05,0.000390250863021
Mongolia,9.5780828125E-05,0.0003831233125
Taiwan,9.55544E-05,0.0003822176
Qatar,9.47717153732809E-05,0.000379086861493
Estonia,9.42122285714286E-05,0.000376848914286
Greece,9.40668097680642E-05,0.000376267239072
Togo,9.2830234375E-05,0.0003713209375
Croatia,9.22865654825026E-05,0.00036914626193
Costa Rica,9.21802188856729E-05,0.000368720875543
Slovenia,8.85981231231231E-05,0.000354392492492
Georgia,8.61704636202307E-05,0.000344681854481
Russia,8.56154120219848E-05,0.000342461648088
Senegal,8.39503645833333E-05,0.000335801458333
Guatemala,8.06435724431818E-05,0.000322574289773
Azerbaijan,8.05892625E-05,0.00032235705
Thailand,7.93710262666113E-05,0.000317484105066
Kenya,7.92273288637968E-05,0.000316909315455
Panama,7.89120244565217E-05,0.000315648097826
Pakistan,7.74872358543782E-05,0.000309948943418
Indonesia,7.73249896523179E-05,0.000309299958609
Argentina,7.51734414042979E-05,0.000300693765617
Romania,7.38292909705649E-05,0.000295317163882
Ukraine,7.33151686024728E-05,0.00029326067441
Nepal,7.10624476674641E-05,0.00028424979067
Angola,6.80805357142857E-05,0.000272322142857
Vietnam,6.78918939543127E-05,0.000271567575817
El Salvador,6.56753236607143E-05,0.000262701294643
Lithuania,6.36430829539707E-05,0.000254572331816
Cote d'Ivoire,6.30710493311037E-05,0.000252284197324
Sri Lanka,6.29896649659864E-05,0.000251958659864
Bulgaria,6.20833960112578E-05,0.000248333584045
Venezuela,6.12519766760431E-05,0.000245007906704
Ecuador,5.97893397348742E-05,0.000239157358939
Tunisia,5.97209061909263E-05,0.000238883624764
Bosnia and Herzegovina,5.81656332236842E-05,0.000232662532895
Turkey,5.79868792808219E-05,0.000231947517123
Belarus,5.5388275E-05,0.0002215531
Honduras,5.5254069428238E-05,0.000221016277713
Albania,5.4904890625E-05,0.0002196195625
Luxembourg,5.443328125E-05,0.000217733125
Serbia,5.24817733017377E-05,0.000209927093207
Egypt,5.21888859882286E-05,0.000208755543953
Suriname,5.1613125E-05,0.0002064525
Bolivia,5.15080007256894E-05,0.000206032002903
Uzbekistan,5.05846875E-05,0.00020233875
Algeria,4.77532122269417E-05,0.000191012848908
Namibia,4.65384375E-05,0.00018615375
Morocco,4.37363386678201E-05,0.000174945354671
Ghana,4.137431640625E-05,0.000165497265625
Nicaragua,2.79433176100629E-05,0.00011177327044
Cameroon,2.35360342261905E-05,9.41441369047619E-05
