,Country,Min,Max,alloc,bins,cut_idx,day,month,year
0,United States,0.000673117642761,0.0026924705710429995,0.0020866646925583997,"[0.0006711  0.00087505 0.00107699 0.00127892 0.00148086 0.00168279
 0.00188473 0.00208666 0.0022886  0.00249054 0.00269247]",7,16,2,2020
1,Canada,0.0006254388958330001,0.0025017555833329996,0.0019388605770829996,"[0.00062356 0.00081307 0.0010007  0.00118833 0.00137597 0.0015636
 0.00175123 0.00193886 0.00212649 0.00231412 0.00250176]",7,16,2,2020
2,Japan,0.0005814259801139999,0.0023257039204549997,0.0018024205383526998,"[0.00057968 0.00075585 0.00093028 0.00110471 0.00127914 0.00145356
 0.00162799 0.00180242 0.00197685 0.00215128 0.0023257 ]",7,16,2,2020
3,Belgium,0.0005717703645830001,0.0022870814583329994,0.0017724881302079998,"[0.00057006 0.0007433  0.00091483 0.00108636 0.00125789 0.00142943
 0.00160096 0.00177249 0.00194402 0.00211555 0.00228708]",7,16,2,2020
4,Kazakhstan,0.000513710390625,0.0020548415625,0.0015925022109375,"[0.00051217 0.00066782 0.00082194 0.00097605 0.00113016 0.00128428
 0.00143839 0.0015925  0.00174662 0.00190073 0.00205484]",7,16,2,2020
5,Iraq,0.000496297421875,0.0019851896875,0.0015385220078125003,"[0.00049481 0.00064519 0.00079408 0.00094297 0.00109185 0.00124074
 0.00138963 0.00153852 0.00168741 0.0018363  0.00198519]",7,16,2,2020
6,Cyprus,0.000469526423441,0.0018781056937629997,0.0014555319126663996,"[0.00046812 0.00061038 0.00075124 0.0008921  0.00103296 0.00117382
 0.00131467 0.00145553 0.00159639 0.00173725 0.00187811]",7,16,2,2020
7,Germany,0.000469526423441,0.0018781056937629997,0.0014555319126663996,"[0.00046812 0.00061038 0.00075124 0.0008921  0.00103296 0.00117382
 0.00131467 0.00145553 0.00159639 0.00173725 0.00187811]",7,16,2,2020
8,Israel,0.000469526423441,0.0018781056937629997,0.0014555319126663996,"[0.00046812 0.00061038 0.00075124 0.0008921  0.00103296 0.00117382
 0.00131467 0.00145553 0.00159639 0.00173725 0.00187811]",7,16,2,2020
9,Singapore,0.000469526423441,0.0018781056937629997,0.0014555319126663996,"[0.00046812 0.00061038 0.00075124 0.0008921  0.00103296 0.00117382
 0.00131467 0.00145553 0.00159639 0.00173725 0.00187811]",7,16,2,2020
