,Max,Min
Netherlands,0.0024228,0.0006057
United States,0.0014256,0.0003564
Israel,0.002766,0.0006915
Canada,0.0014904,0.0003726
New Zealand,0.0048012,0.0012003
Australia,0.0016992,0.0004248
Italy,0.0011124,0.0002781
Singapore,0.002862,0.0007155
Qatar,0.0009108,0.0002277
Norway,0.0012744,0.0003186
United Kingdom,0.001758,0.0004395
Denmark,0.0005136,0.0001284
Switzerland,0.0017568,0.0004392
Oman,0.0009072,0.0002268
Belgium,0.0011616,0.0002904
France,0.0010308,0.0002577
Austria,0.0005616,0.0001404
Germany,0.0006612,0.0001653
Madagascar,2.4E-05,6E-06
Ireland,0.0004584,0.0001146
Côte d'Ivoire,2.4E-05,6E-06
Barbados,2.4E-05,6E-06
Nicaragua,0.0009072,0.0002268
Benin,0.0009072,0.0002268
Togo,0.0007092,0.0001773
Jamaica,0.0005196,0.0001299
China,0.0004212,0.0001053
Angola,2.4E-05,6E-06
Puerto Rico,2.4E-05,6E-06
Hong Kong,0.0009948,0.0002487
Spain,0.0008016,0.0002004
Bahrain,0.0009072,0.0002268
United Arab Emirates,0.0009864,0.0002466
Mali,0.0006816,0.0001704
Brazil,0.0010368,0.0002592
Saudi Arabia,0.0006432,0.0001608
Kuwait,0.0010632,0.0002658
Botswana,2.4E-05,6E-06
Taiwan,0.000462,0.0001155
Philippines,0.0009552,0.0002388
Estonia,0.0009072,0.0002268
Trinidad and Tobago,2.4E-05,6E-06
Iraq,2.4E-05,6E-06
South Africa,0.0011688,0.0002922
Vietnam,0.0009072,0.0002268
Sweden,0.0002244,5.61E-05
Costa Rica,0.0006696,0.0001674
Thailand,0.0008448,0.0002112
Jordan,0.0013704,0.0003426
Nepal,0.0009024,0.0002256
Finland,0.0007932,0.0001983
Mexico,0.0007356,0.0001839
Senegal,0.0009072,0.0002268
Slovenia,0.0009072,0.0002268
India,0.0006048,0.0001512
Panama,0.0008292,0.0002073
Chile,0.0009612,0.0002403
Bangladesh,0.0006348,0.0001587
Lithuania,2.4E-05,6E-06
Malaysia,0.000894,0.0002235
Zambia,0.0009072,0.0002268
Georgia,2.4E-05,6E-06
Colombia,0.0006012,0.0001503
Paraguay,0.0009072,0.0002268
Portugal,0.0005892,0.0001473
Slovakia,0.0007128,0.0001782
Cameroon,0.0012264,0.0003066
Honduras,0.0015216,0.0003804
Namibia,2.4E-05,6E-06
Poland,0.0007032,0.0001758
Russia,0.0005508,0.0001377
Egypt,0.0005376,0.0001344
Indonesia,0.0008424,0.0002106
Algeria,0.0006996,0.0001749
Dominican Republic,0.000606,0.0001515
Nigeria,0.0008028,0.0002007
Tunisia,2.4E-05,6E-06
Azerbaijan,2.4E-05,6E-06
Bolivia,0.0009072,0.0002268
Sri Lanka,0.00087,0.0002175
Argentina,0.000714,0.0001785
Gabon,2.4E-05,6E-06
Morocco,0.000576,0.000144
Latvia,2.4E-05,6E-06
Hungary,0.0006744,0.0001686
Romania,0.0005616,0.0001404
Peru,0.0005784,0.0001446
El Salvador,0.0012768,0.0003192
Ukraine,0.0003852,9.63E-05
Uruguay,0.0003804,9.51E-05
Venezuela,0.0004392,0.0001098
Turkey,0.00045,0.0001125
Mongolia,0.0008784,0.0002196
Croatia,2.4E-05,6E-06
Haiti,2.4E-05,6E-06
Pakistan,0.000558,0.0001395
Kenya,0.0010668,0.0002667
Guatemala,0.0008376,0.0002094
Greece,2.4E-05,6E-06
Mozambique,0.0009072,0.0002268
Bosnia and Herzegovina,2.4E-05,6E-06
Belarus,2.4E-05,6E-06
Kazakhstan,2.4E-05,6E-06
Bulgaria,0.0002064,5.16E-05
Japan,0.0012396,0.0003099
Albania,0.0009072,0.0002268
Ecuador,0.000378,9.45E-05
Ghana,0.0009804,0.0002451
Lebanon,0.0009384,0.0002346
Burkina Faso,0.0009072,0.0002268
Montenegro,0.00087,0.0002175
Suriname,0.0004176,0.0001044
Cyprus,0.0003624,9.06E-05
