,min,max
United States,0.000673117642761,0.002692470571043
Canada,0.000625438895833,0.002501755583333
Japan,0.000581425980114,0.002325703920455
Belgium,0.000571770364583,0.002287081458333
Kazakhstan,0.000513710390625,0.0020548415625
Iraq,0.000496297421875,0.0019851896875
Cyprus,0.000469526423441,0.001878105693763
Germany,0.000469526423441,0.001878105693763
Israel,0.000469526423441,0.001878105693763
Singapore,0.000469526423441,0.001878105693763
Lithuania,0.000469526423441,0.001878105693763
United Kingdom,0.000469526423441,0.001878105693763
Austria,0.000455001770833,0.001820007083333
Netherlands,0.000445415969968,0.00178166387987
Australia,0.000423379539474,0.001693518157895
France,0.000416227772746,0.001664911090982
Spain,0.000415279963942,0.001661119855769
South Africa,0.000413892757813,0.00165557103125
Denmark,0.00038204328125,0.001528173125
Belarus,0.000352296906566,0.001409187626263
Croatia,0.0003408096875,0.00136323875
Italy,0.000295413099403,0.001181652397611
United Arab Emirates,0.00029416568882,0.001176662755282
Brazil,0.000290810177365,0.001163240709459
Switzerland,0.000284124125,0.0011364965
Azerbaijan,0.0002796403125,0.00111856125
Slovakia,0.000274269817518,0.001097079270073
Sweden,0.000239120260417,0.000956481041667
Kenya,0.000227372988281,0.000909491953125
Dominican Republic,0.000221044068031,0.000884176272124
Nigeria,0.000219559764119,0.000878239056475
Ireland,0.00020994828125,0.000839793125
Bolivia,0.000209018453264,0.000836073813056
Chile,0.000208769904781,0.000835079619125
Mexico,0.000206473468807,0.000825893875228
Saudi Arabia,0.00020540271134,0.000821610845361
El Salvador,0.000195413135593,0.000781652542373
Hong Kong,0.00019485513331,0.000779420533241
Ghana,0.000193482681564,0.000773930726257
Poland,0.000193176580252,0.000772706321008
Gabon,0.0001915546875,0.00076621875
Egypt,0.00017899594152,0.000715983766079
Hungary,0.000175776973684,0.000703107894737
Latvia,0.000175511206897,0.000702044827586
Paraguay,0.000175453125,0.0007018125
Peru,0.000174559749381,0.000698238997525
Solomon Islands,0.000172352675781,0.000689410703125
Slovenia,0.000161438203125,0.0006457528125
Argentina,0.000158238529149,0.000632954116598
Uruguay,0.000158072339109,0.000632289356436
India,0.000157951354729,0.000631805418915
Russia,0.000154588747417,0.000618354989666
Morocco,0.000154452688806,0.000617810755226
Thailand,0.000153959279434,0.000615837117737
Ukraine,0.000151522798021,0.000606091192085
Philippines,0.000151061042884,0.000604244171537
Nepal,0.000150837957589,0.000603351830357
Malaysia,0.0001498778125,0.00059951125
Colombia,0.000145334282695,0.00058133713078
Mongolia,0.000140180625,0.0005607225
Maldives,0.00013902203125,0.000556088125
Bangladesh,0.000136121847957,0.000544487391827
Portugal,0.000135445429991,0.000541781719965
Bahrain,0.000134444084821,0.000537776339286
Costa Rica,0.000133058271484,0.000532233085938
Nicaragua,0.000132127914326,0.000528511657303
Turkey,0.000130903975994,0.000523615903976
Guatemala,0.000126777544643,0.000507110178571
Zambia,0.000125107575231,0.000500430300926
Qatar,0.000125077246544,0.000500308986175
Ecuador,0.000121651318438,0.000486605273752
Greece,0.000119440202206,0.000477760808824
Pakistan,0.000117538878775,0.000470155515099
Kuwait,0.000117479306641,0.000469917226563
Algeria,0.000116422262181,0.000465689048724
Panama,0.00011288665807,0.000451546632282
Romania,0.000112036117047,0.000448144468186
Jamaica,0.00010380733209,0.000415229328358
Oman,0.00010339078125,0.000413563125
Tunisia,0.000101881491477,0.000407525965909
Indonesia,9.9796720476363E-05,0.000399186881905
Serbia,9.51010425716768E-05,0.000380404170287
Venezuela,9.44459206081081E-05,0.000377783682432
Mozambique,9.21547549019608E-05,0.000368619019608
Taiwan,8.88921542553191E-05,0.000355568617021
Sri Lanka,8.03828679435484E-05,0.000321531471774
Kyrgyzstan,7.743378125E-05,0.000309735125
Vietnam,7.44124937227988E-05,0.000297649974891
Honduras,6.79375113019892E-05,0.000271750045208
China,6.61883072916667E-05,0.000264753229167
Bulgaria,6.36040972222222E-05,0.000254416388889
Jordan,5.21044110576923E-05,0.000208417644231
Benin,4.44046306818182E-05,0.000177618522727
Albania,4.08365631691649E-05,0.000163346252677
Zimbabwe,2.18145192307692E-05,8.72580769230769E-05
